Food web,CommonName,PATrophicLevel
MAZ1a,Coccoid bacteria,1
MAZ1a,Curved rod bacteria,1
MAZ1a,Hydrogen bacteria,1
MAZ1a,Ammonia-oxi bacteria,1
MAZ1a,Phosphate-red bacteria,1
MAZ1a,Sulfur-oxi bacteria,1
MAZ1a,Gram-positive anaerobes,1
MAZ1a,Dinoflagellata,1
MAZ1a,Chlorophyta,1
MAZ1a,Bryophyta,1
MAZ1a,Lycopodiopsida,1
MAZ1a,Equisetum sp.,1
MAZ1a,Fern leaves,1
MAZ1a,Cycad leaves,1
MAZ1a,Conifer leaves,1
MAZ1a,Ginkgo leaves,1
MAZ1a,Angiosperm leaves,1
MAZ1a,Angiosperm shoots & stems,1
MAZ1a,Angiosperm seeds & fruits,1
MAZ1a,Aquatic angiosperms,1
MAZ1a,Rhizomes,1
MAZ1apack,Detritus,1
MAZ1apack,Decayed wood,1
MAZ1apack,Carrion,1
MAZ1apack,Enterobacteriaceae,1
MAZ1apack,Iron-oxi bacteria,1
MAZ1apack,Iron-red bacteria,1
MAZ1apack,Rods,1
MAZ1apack,Coccibacilli,1
MAZ1apack,Coccoid bacteria,1
MAZ1apack,Curved rod bacteria,1
MAZ1apack,Phosphate-red bacteria,1
MAZ1apack,Methanogens,2
MAZ1apack,Gram-positive anaerobes,1
MAZ1apack,Bryophyta,1
MAZ1apack,Lycopodiopsida,1
MAZ1apack,Equisetum sp.,1
MAZ1apack,Fern leaves,1
MAZ1apack,Cycad leaves,1
MAZ1apack,Conifer leaves,1
MAZ1apack,Ginkgo leaves,1
MAZ1apack,Angiosperm leaves,1
MAZ1apack,Angiosperm shoots & stems,1
MAZ1apack,Angiosperm seeds & fruits,1
MAZ1apack,Rhizomes,1
MAZ1apack,Lichen,2
MAZ1apack,Fungi,2
MAZ1apack,Pulmonate snails,2.5
MAZ1apack,Acari,2
MAZ1apack,Araneidae,3.474932
MAZ1apack,Blattodea,2.353169
MAZ1apack,Psocodea,2.666667
MAZ1apack,Hemiptera (other),2.668588
MAZ1apack,Coleoptera,2.53169
MAZ1apack,Diptera,2.522772
MAZ1apack,Hymenoptera (other),2.581638
MAZ1apack,Lepidoptera,2
MAZ1apack,Pseudoscorpionida,3.503298
MAZ1apack,Collembola,2.5
MAZ1apack,Formicidae,2.72032
MAZ1apack,Diplopoda,2
MAZ1apack,Anisoptera,3.428001
MAZ1apack,Orthoptera,2.691318
MAZ1apack,Aphidoidea,2
MAZ1apack,Isoptera,2.125
MAZ1apack,Phasmatodea,2
MAZ1apack,Thysanoptera,2
MAZ1apack,Neuroptera,3.214857
MAZ1apack,Basilemys variolosa,2
MAZ1apack,Odaxosaurus priscus,3.600908
MAZ1apack,Orthrioscincus mixtus,3.525853
MAZ1apack,Leptochamops thrinax,3.708995
MAZ1apack,Sphenosiagon simplex,3.545871
MAZ1apack,Gerontoseps irvinensis,3.66524
MAZ1apack,Socognathus unicuspis,3.875279
MAZ1apack,Glyptogenys ornata,3.457085
MAZ1apack,?Exostinus sp.,3.785573
MAZ1apack,Ornithurine B,2.888446
MAZ1apack,Ornithurine C,2.888446
MAZ1apack,Ornithurine E,2.888446
MAZ1apack,Ornithurine F,2.888446
MAZ1apack,Mesodma primaeva,2.924476
MAZ1apack,Cimolodon sp.,2.711136
MAZ1apack,Cimexomys spp.,2.711136
MAZ1apack,Alphadon halleyi,3.12927
MAZ1apack,Turgidodon praesagus,3.691149
MAZ1apack,Pediomys spp.,3.12927
MAZ1apack,Gypsonictops lewisi,3.105711
MAZ1apack,Paranyctoides sternbergi,3.202962
MAZ1apack,Cimolestidae,3.202962
MAZ1apack,Labrodioctes cf montanensis,4.069302
MAZ1apack,Parasaniwa n. sp.,3.886303
MAZ1apack,Palintropus sp. B,2.888446
MAZ1apack,Ornithurine D,2.888446
MAZ1apack,Cimolomys clarki,2.711136
MAZ1apack,Eodelphis browni,3.687798
MAZ1apack,Eodelphis cutleri,3.683103
MAZ1apack,Palaeosaniwa canadensis,3.998804
MAZ1apack,Hesperonychus elizabethae,4.177328
MAZ1apack,Palintropus sp. A,2.888446
MAZ1apack,Ornithurine G,2.888446
MAZ1apack,Meniscoessus major,2.711136
MAZ1apack,Didelphodon sp.,3.914577
MAZ1apack,Cryodrakon boreas,4.071786
MAZ1apack,Orodrominae,2
MAZ1apack,Stegoceras validum,2.658615
MAZ1apack,Foraminacephale brevis,2.658615
MAZ1apack,Sphaerotholus lyonsi,2.658615
MAZ1apack,Citipes elegans,3.816406
MAZ1apack,cf Richardoestesia gilmorei,4.207631
MAZ1apack,cf Richardoestesia isosceles,4.207631
MAZ1apack,J C. casuarius,2
MAZ1apack,J P. walkeri,2
MAZ1apack,J G. notabilis,2
MAZ1apack,J C. apertus,2.2
MAZ1apack,J M. gemini,2.2
MAZ1apack,J C. russelli,2.2
MAZ1apack,Y G. libratus,3.94709
MAZ1apack,Y Daspletosaurus sp.,3.94709
MAZ1apack,Unescoceratops koppelhusae,2.142857
MAZ1apack,Ornithomimus edmontonicus,2
MAZ1apack,Struthiomimus altus,2
MAZ1apack,Rativates evadens,2
MAZ1apack,cf Qiupalong,2
MAZ1apack,Large unnamed ornithomimid,2
MAZ1apack,Caenagnathus collinsi,3.85488
MAZ1apack,Chirostenotes pergracilis,3.860474
MAZ1apack,cf Paronychodon,4.039397
MAZ1apack,cf Pectinodon,4.0593
MAZ1apack,Stenonychosaurus inequalis,4.0593
MAZ1apack,Dromaeosaurus albertensis,4.092424
MAZ1apack,Saurornitholestes langstoni,4.092424
MAZ1apack,Euoplocephalus tutus,2
MAZ1apack,Dyoplosaurus acutosquameus,2
MAZ1apack,Edmontonia rugosidens,2
MAZ1apack,Corythosaurus casuarius,2.1
MAZ1apack,Parasaurolophus walkeri,2.1
MAZ1apack,Gryposaurus notabilis,2.1
MAZ1apack,Centrosaurus apertus,2.125
MAZ1apack,Mercuriceratops gemini,2.125
MAZ1apack,Chasmosaurus russelli,2.125
MAZ1apack,Gorgosaurus libratus,3.016176
MAZ1apack,J G. libratus,3.777729
MAZ1apack,Daspletosaurus sp.,3.016176
MAZ1apack,J Daspletosaurus sp.,3.777729
Komodo,Detritus,1
Komodo,Carrion,1
Komodo,Algae,1
Komodo,Plant juices,1
Komodo,Grains and seeds,1
Komodo,Fruits and nectar,1
Komodo,Grass and herbs,1
Komodo,Trees and shrubs,1
Komodo,Roots and tubers,1
Komodo,Fungi,2
Komodo,Demospongiae,2.333333
Komodo,Branchiopoda,2
Komodo,Medusozoa,3
Komodo,Asperitas trochus,2.5
Komodo,Bivalvia,2.333333
Komodo,Diplopoda,2
Komodo,Odonata,3.367645
Komodo,Heteroptera,2
Komodo,Coleoptera (other),2.631221
Komodo,Diptera,2.790827
Komodo,Hymenoptera,2.583823
Komodo,Lepidoptera,2
Komodo,Isopoda,2.2
Komodo,Gastrimargus lumbokensis,2
Komodo,Stenocatanops exinsula,2
Komodo,Valanga nigricornis,2
Komodo,Austracris guttulosa,2
Komodo,Blattodea,2.2
Komodo,Isoptera,2
Komodo,Trox sp.,2
Komodo,Scarabidae indet,2
Komodo,Araneidae,3.274886
Komodo,Brachyura,2.5
Komodo,Teleostei,2.994936
Komodo,Anura,3.189893
Komodo,Gekko gekko,3.214053
Komodo,Hemidactylus frenatus,3.203838
Komodo,Hemidactylus platyurus,3.289827
Komodo,Lepidodactylus intermedius,3.214053
Komodo,Sphenomorphus florensis,3.245384
Komodo,Trimeresurus insularis,4.131989
Komodo,Mus musculus,2.761003
Komodo,Rattus sp.,2.761003
Komodo,Komodomys rintjanus,2.761003
Komodo,Varanus komodoensis Y,3.679838
Komodo,Coelognathus subradiatus,4.071117
Komodo,Dendrelaphis pictus,4.226175
Komodo,Naja naja,4.131989
Komodo,Daboia siamensis,4.131989
Komodo,Eretmochelys imbricata,3.332321
Komodo,Megapodius reinwardt,3.091707
Komodo,Gallus varius,3.210229
Komodo,Geopelia maugeus,2
Komodo,Ducula aenea,2
Komodo,Corvus macrorhynchos,2.930249
Komodo,Haliaster indus,3.790714
Komodo,Hipposideros diadema,3.224161
Komodo,Pteropus vampyrus,2
Komodo,Haliaeetus leucogaster,3.782285
Komodo,Crocidura sp.,3.222302
Komodo,Macaca fascicularis,2.953423
Komodo,Paradoxurus musangus,3.429718
Komodo,?Arctogalidia sp.,3.569176
Komodo,Sus scrofa,3.194272
Komodo,Cervus timorensis,2
Komodo,Bubalis bubalis,2
Komodo,Varanus komodoensis J,3.940762
Komodo,Varanus komodoensis S,4.015671
Komodo,Varanus komodoensis A,3.546933
