Locality,Locality_type,Sternberg_Map_No,Latitude,Longitude,UTM_East,UTM_North,Elevation_MASL,Locality_no,Formation,Elevation_TMP_DEM,Reference_Oldman_contact,Contact_elev_TMP_DEM,Height_Oldman_DPF,Height_PT,Height_LCZ,Strat_unit,Within_DPP,Within_DPP_vicinity,Within_map,Within_bonebed,Identification,Discovered_by,Date_discovered,Staked,Date_staked,Last_date_checked,References
BB018,BB,,50.7801079426,-111.494336401,465149,5625489,660.81,,DPF,660.908020019531,Contact 046,654.334,6.57402001953108,,,DPF2,Y,Y,Y,,Mixed faunal Class C/D,P. J. Currie,1980-08-21,N,,2001-10-24,
BB020,BB,,50.7269764124,-111.5602264839,460459,5619614,700.11,,DPF,699.934997558594,Contact 190,668.9937,30.941297558594,,,DPF4,Y,Y,Y,,Mixed faunal Class A/B,D. Tanke,1980-07-01,N,,2003-06-24,
BB020A,BB,,50.7275254246,-111.5620040937,460334,5619676,693.61,,DPF,693.112976074219,Contact 190,668.9937,24.119276074219,,,DPF3,Y,Y,Y,,Mixed faunal Class D,P. Dodson,1982-08-02,N,,2001-10-20,
BB024,BB,,50.7477821816,-111.4891623701,465490,5621892,681.95,,DPF,682.684387207031,Contact 217,662.5041,20.180287207031,,,DPF2,Y,Y,Y,,Mixed faunal Class D,P. Dodson,1980-07-31,N,,2001-10-18,
BB025,BB,,50.7403606893,-111.4939745065,465145,5621069,695.296,,DPF,694.776123046875,Eberth 1990,,23,,,DPF3,Y,Y,Y,,Mixed faunal Class B/D,P. Dodson; L. J. Strong; P.J. Currie,1980-07-31,N,,2002-05-18,Brinkman 1990; Eberth 1990
BB026,BB,,50.7357202177,-111.5652764557,460110,5620589,703.74,,DPF,702.874816894531,Contact 187,667.9216,34.953216894531,,,DPF5,Y,Y,Y,,Mixed faunal Class C,P. Dodson,1980-07-31,N,,2001-06-10,
BB028,BB,,50.7441094603,-111.5130205811,463804,5621495,656.33,,DPF,665.47900390625,Contact 182; 155,664.1414,1.33760390625002,,,DPF1,Y,Y,Y,,Mixed faunal Class D,P. Dodson,1980-07-31,N,,2003-09-28,
BB028A,BB,,50.7430806922,-111.5138313834,463746,5621381,665.26,,DPF,665.11328125,Contact 182; 155,664.1414,0.971881250000024,,,DPF1,Y,Y,Y,,Mixed faunal Class A/D,P. J. Currie,1999-07-20,N,,2001-06-08,
BB029,BB,,50.7455818055,-111.5011872717,464640,5621653,680.003,,DPF,679.909973144531,Contact 177,666.0112,13.898773144531,,,DPF1,Y,Y,Y,,Mixed faunal Class C,P. J. Currie,1980-08-27,N,,2002-05-16,
BB029A,BB,,50.7456799303896,-111.501372580673,464627,5621664,,,DPF,679.898681640625,Contact 177,666.0112,13.887481640625,,,DPF1,Y,Y,Y,,Mixed faunal Class C,,,,,,
BB030,BB,,50.7455854505,-111.506587575,464259,5621656,671.246,FEP Core,DPF,671.202270507812,Eberth & Getty 2005,,6,,,DPF1,Y,Y,Y,,Centrosaurus apertus Class A,D. A. Russell,1980-01-08,Y,,2001-07-25,Eberth & Getty 2005
BB031,BB,,50.7525851241,-111.4803382334,466116,5622422,668.2,U031,DPF,667.673522949219,Eberth 1990,,1,,,DPF1,Y,Y,Y,,Mixed faunal Class D,R. A. Mussieux; D. Tanke,1980-08-27,,,1998-08-19,Brinkman 1990; Eberth 1990
BB032,BB,,50.7480529682,-111.4824464032,465964,5621919,706.129,,DPF,706.101745605469,Contact 223,663.111,42.990745605469,,,DPF5,Y,Y,Y,,Microsite (Class C/D BB),P. J. Currie,1980-08-28,N,,2002-05-16,
BB033,BB,,50.8157739675,-111.5997713205,457748,5629510,659.028,,DPF,658.883483886719,Contact 017,648.4369,10.4465838867189,,,DPF2,Y,Y,Y,,Mixed faunal Class D,P. J. Currie,1980-08-28,N,,2003-05-22,
BB034,BB,,50.8087785206,-111.5960625032,458003,5628730,667.113,,DPF,667.124572753906,Contact 011,647.2424,19.882172753906,,,DPF2,Y,Y,Y,,Mixed faunal Class B/D,P. J. Currie,1980-08-29,N,,2003-05-21,
BB035,BB,,50.8081144479,-111.5940244708,458146,5628655,681.313,,DPF,681.027709960938,Contact 003,642.0718,38.9559099609379,,,DPF4,Y,Y,Y,,Mixed faunal Class C/D,P. J. Currie,1980-08-29,N,,2003-05-21,
BB036,BB,,50.7496408212,-111.4855529036,465746,5622097,679.186,,DPF,678.785217285156,Contact 223,663.111,15.674217285156,,,DPF2,Y,Y,Y,,Mixed faunal Class C/D,P. J. Currie,1980-08-30,N,,2002-05-18,
BB037,BB,,50.7423620462,-111.5054189582,464339,5621297,670.987,,DPF,670.828491210938,Contact 225,671.8,-0.971508789062,,,DPF1,Y,Y,Y,,Mixed faunal Class B/D,J. Walper,,N,,2002-07-05,
BB038,BB,,50.7429679427,-111.5067152358,464248,5621365,669.781,,DPF,669.201965332031,Contact 225,671.8,-2.59803466796893,,,DPF1,Y,Y,Y,,Mixed faunal Class B,P. J. Currie,1980-08-31,N,,2001-07-09,
BB038A,BB,,50.7414170332,-111.5076622392,464180,5621193,672.359,,DPF,672.189758300781,Contact 155,662.1328,10.056958300781,,,DPF2,Y,Y,Y,,Mixed faunal Class B,P. J. Currie,1980-08-31,N,,2003-05-23,
BB039,BB,,50.7628336707,-111.4919424227,465305,5623567,662.41,,DPF,663.069641113281,Contact 060,665.4125,-2.342858886719,,,DPF1,Y,Y,Y,,Mixed faunal Class B/C,P. J. Currie,1980-09-01,N,,2001-10-16,
BB041,BB,,50.7606135394,-111.4253371764,470001,5623291,660.91,Beasley’s,DPF,664.012390136719,Eberth & Getty 2005,,3,,,DPF1,Y,Y,Y,,Centrosaurus apertus Class A,L. J. Strong,1981-08-19,N,,2000-10-17,Eberth & Getty 2005
BB041A,BB,,50.7634720675,-111.4354162123,469292,5623613,660.84,FEP Beasley’s,DPF,664.238525390625,Eberth & Getty 2005,,2.6,,,DPF1,Y,Y,Y,,Centrosaurus apertus Class A,P. J. Currie,1992-08-26,Y,,2000-10-17,Eberth & Getty 2005
BB041AA,BB,,50.7627219187,-111.4364159644,469221,5623530,676.69,,DPF,666.721923828125,Contact 147,661.4158,5.30612382812501,,,DPF2,Y,Y,Y,,Centrosaurus apertus Class A,P. J. Currie,1992-08-26,Y,,2000-10-17,
BB041AB,BB,,50.7626106616,-111.4373082089,469158,5623518,662.6,,DPF,664.841979980469,Contact 147,661.4158,3.42617998046899,,,DPF1,Y,Y,Y,,Centrosaurus apertus Class A,,2013-05-29,,,,
BB042,BB,,50.7394991428,-111.4935544526,465174,5620973,698.902,BB042,DPF,698.908020019531,Eberth & Getty 2005,,29,,,DPF3,Y,Y,Y,,Styracosaurus albertensis plus mixed faunal; Class A,D. Taylor,Summer 1966,Y,,2000-10-12,Visser 1986
BB043,BB,,50.753945689,-111.4840522088,465855,5622575,663.76,Q143,DPF,672.560668945312,Eberth & Getty 2005,,10.5,,,DPF2,Y,Y,Y,,Centrosaurus apertus Class A,B. Brown,1919-05-31,Y,1988-06-14,Fall 2003,Currie & Dodson 1984; Ryan et al. 2001
BB043A,BB,,50.7519261820078,-111.483109951829,465920,5622350,,,DPF,668.619995117188,Eberth & Getty 2005 (estimated),,10.5,,,DPF2,Y,Y,Y,,Centrosaurus apertus Class A,,,,,,
BB043B,BB,,,,465856,5622570,,,DPF,NA,Sato et al. 2005,,15,,,,Y,Y,Y,,Plesiosaur posterior cervical,,,,,,Sato et al. 2005
BB044,BB,,50.8325820015,-111.5891092769,458514,5631373,682.072,,DPF,681.992492675781,Contact 017,648.4369,33.555592675781,,,DPF4,Y,Y,Y,,Mixed faunal Class C,L. J. Strong,1981-06-02,N,,2003-05-23,
BB044A,BB,,50.830995709,-111.5915884768,458338,5631198,680.615,,DPF,681.117858886719,Contact 017,648.4369,32.6809588867189,,,DPF4,Y,Y,Y,,Mixed faunal Class C,L. J. Strong,1981-06-02,N,,2001-07-30,
BB044B,BB,,50.8304741488,-111.5898069271,458463,5631139,683.917,,DPF,683.904968261719,Contact 017,648.4369,35.4680682617189,,,DPF4,Y,Y,Y,,Mixed faunal Class C,L. J. Strong,1981-06-02,N,,2001-07-30,
BB045,BB,,50.8218602408,-111.5787808768,459232,5630175,669.77,,DPF,669.896362304688,Contact 017,648.4369,21.4594623046879,,,DPF3,Y,Y,Y,,Mixed faunal Class B,R. Solkoski (years earlier),1981-06-05,N,,2001-10-23,
BB046,BB,,50.7403604508,-111.5045328993,464400,5621074,678.589,,DPF,678.345642089844,Contact 225,671.8,6.54564208984402,,,DPF1,Y,Y,Y,,Mixed faunal Class A,L. J. Strong,1981-06-08,N,,2002-05-14,
BB047,BB,,50.7376151621,-111.5133322586,463777,5620773,689.078,,DPF,687.024230957031,Contact 155,662.1328,24.891430957031,,,DPF3,Y,Y,Y,,Mixed faunal Class A/D,L. J. Strong,1981-06-12,N,,2001-07-08,Tumarkin-Deratzian 1997
BB047D,BB,,50.7378531512388,-111.514426072865,463700,5620800,,,DPF,683.1572265625,Contact 155,662.1328,21.0244265625,,,DPF4,Y,Y,Y,,Mixed faunal Class A/D,,,N,,,
BB047E,BB,,50.7376375177235,-111.514381196028,463703,5620776,,,DPF,686.833312988281,Contact 155,662.1328,24.700512988281,,,DPF4,Y,Y,Y,,Mixed faunal Class A/D,,,,,,
BB048,BB,,50.8174198507,-111.5819768022,459003,5629683,667.68,,DPF,667.488098144531,Contact 017,648.4369,19.051198144531,,,DPF2,Y,Y,Y,,Mixed faunal Class B,L. J. Strong,1981-06-04,N,,2001-10-15,
BB049,BB,,50.7413619068,-111.5058617168,464307,5621186,677.53,,DPF,676.873840332031,Contact 225,671.8,5.07384033203107,,,DPF1,Y,Y,Y,,Microsite (Class D BB),L. J. Strong,1981-06-28,N,,2001-07-09,
BB050,BB,,50.744947398,-111.5085508384,464120,5621586,685.949,,DPF,685.849975585938,Contact 177,666.0112,19.8387755859379,,,DPF2,Y,Y,Y,,Mixed faunal Class A,L. J. Strong,1981-06-28,N,,2001-07-25,
BB050A,BB,,50.742377382869,-111.508097811766,464150,5621300,,,DPF,686.276062011719,Contact 225,671.8,14.476062011719,,,DPF2,Y,Y,Y,,Mixed faunal Class A,,,,,,"If those coordinates are from different coordinate system, they may be invalid…"
BB050B,BB,,50.7454726078639,-111.507720268436,464179,5621644,,,DPF,683.177917480469,Contact 177,666.0112,17.1667174804689,,,,,Y,,,Mixed faunal Class A,,,,,,
BB050C,BB,,50.7448061105509,-111.507954013008,464162,5621570,,,DPF,682.911987304688,Contact 177,666.0112,16.9007873046879,,,,,Y,,,Mixed faunal Class A,,,,,,
BB050D,BB,,50.7449935953519,-111.508267863975,464140,5621591,,,DPF,685.253845214844,Contact 177,666.0112,19.2426452148439,,,,,Y,,,Mixed faunal Class A,,,,,,
BB051,BB,,50.7517241812,-111.5094464582,464062,5622340,661.864,Sid’s Site,DPF,661.776184082031,Eberth 1990,,1,,,DPF1,Y,Y,Y,,Mixed faunal Class D,L. J. Strong,1981-08-30,N,,2001-08-01,Brinkman 1990; Eberth 1990; Brinkman unpublished
BB052,BB,,50.759276568,-111.488828491,465522,5623170,,,DPF,664.789978027344,Contact 111,659.3497,5.44027802734399,,,DPF1,Y,Y,Y,,Mixed faunal Class C,J. Proudfoot,1981-05-31,N,,2004-06-21,
BB053,BB,,50.7490597705,-111.5058879717,464311,5622042,668.353,,DPF,668.353088378906,Contact 083,657.2258,11.127288378906,,,DPF2,Y,Y,Y,,Mixed faunal Class B/C,L. J. Strong,1981-08-30,N,,2003-09-28,
BB053A,BB,,50.7488117871211,-111.505006455511,464373,5622014,671,,DPF,663.417358398438,Contact 083,657.2258,6.19155839843791,,,,,Y,,BB053,Ornithomimid dorsal neural arch in BB053 east extension,C. Coy,2021-06-15,,,,
BB054,BB,,50.8154123298,-111.5769693782,459354,5629457,678.343,,DPF,678.288635253906,Eberth 1990,,38,,,DPF4,Y,Y,Y,,Mixed faunal Class D,L. J. Strong,1981-06-04,N,,2001-07-30,Brinkman 1990; Eberth 1990; Brinkman unpublished
BB054A,BB,,50.8158616655,-111.5770316954,459350,5629507,676.04,,DPF,676.073425292969,Eberth 1990,,36,,,DPF3,Y,Y,Y,,Mixed faunal Class D,L. J. Strong,1981-06-04,N,,2001-10-17,
BB055,BB,,50.8145254932,-111.5744459699,459531,5629357,682.33,,DPF,682.505859375,Contact 017,648.4369,34.068959375,,,DPF4,Y,Y,Y,,Mixed faunal Class B,M. Hirsch; B. Hirsch,1981-07-12,N,,2001-10-17,
BB056,BB,,50.8153916901,-111.5720292381,459702,5629452,684.42,,DPF,684.470458984375,Contact 017,648.4369,36.033558984375,,,DPF4,Y,Y,Y,,,L. J. Strong,1981-07-17,N,,2001-10-17,
BB057X,BB,,50.8127504465,-111.3259685598,477035,5629053,694.287,,DPF,NA,NA,NA,NA,,,,N,Y,N,,Microsite (Class D BB),P. Dodson,2003-06-15,N,,2003-09-26,
BB057Y,BB,,50.8121134347,-111.3254389487,477072,5628982,673.8,,DPF,NA,NA,NA,NA,,,,N,Y,N,,Microsite (Class D BB),,,,,,
BB057Z,BB,,50.8125535199,-111.3256407244,477058,5629031,686.182,,DPF,NA,NA,NA,NA,,,,N,Y,N,,Microsite (Class D BB),P. Dodson,2003-06-15,N,,2003-09-26,
BB058,BB,,50.7935560919,-111.6214223149,456202,5627052,671.998,,DPF,NA,Contact 003,642.0718,29.9262,,,DPF3,N,Y,N,,Mixed faunal Class B/D,P. Dodson,1981-08-10,N,,2003-05-22,
BB059,BB,,50.7358092814,-111.5129440731,463803,5620572,697.77,,DPF,697.417846679688,Contact 202,671.2587,26.159146679688,,,DPF3,N,Y,Y,,Mixed faunal Class C,L. J. Strong,1981-08-11,N,,2003-05-23,
BB060,BB,,50.7601663047,-111.429586611,469701,5623243,648.12,,DPF,648.625427246094,Contact 125,659.6274,-11.001972753906,,,DPF1,Y,Y,Y,,Mixed faunal Class B,L. J. Strong,1981-08-19,N,,2023-08-08,
BB061,BB,,50.7535832271,-111.4737706334,466580,5622530,673.874,,DPF,672.65087890625,Eberth & Getty 2005,,14,,,DPF2,Y,Y,Y,,Centrosaurus apertus plus mixed faunal; E of BB043 and higher,P. J. Currie; L. J. Strong; D. Tanke,1981-08-21,N,,2000-10-12,Eberth & Getty 2005
BB061A,BB,,50.7540244064,-111.4714217951,466746,5622578,664.405,,DPF,661.15380859375,Eberth & Getty 2005,,14,,,DPF2,Y,Y,Y,,Centrosaurus apertus plus mixed faunal; E of BB043 and higher,P. J. Currie; L. J. Strong; D. Tanke,1981-08-21,N,,2001-10-16,Eberth & Getty 2005
BB062,BB,,50.7564417947,-111.4696172223,466875,5622846,659.615,,DPF,659.544311523438,Contact 220,662.4232,0.1,,,DPF1,Y,Y,Y,,Centrosaurus apertus plus mixed faunal,D. A. Russell,,N,,2001-10-16,
BB062A,BB,,50.7559742949,-111.4695841898,466877,5622794,666.41,,DPF,666.148315429688,Contact 220,662.4232,3.725115429688,,,DPF1,Y,Y,Y,,Mixed faunal Class C,P. J. Currie; L. J. Strong,1981-08-21,N,,2001-10-16,
BB063,BB,,50.7525009464,-111.4678624936,466996,5622407,671.54,,DPF,671.940856933594,Contact 222,665.3928,6.54805693359401,,,DPF1,Y,Y,Y,,Mixed faunal Class D,P. J. Currie,1981-08-21,N,,2002-05-16,
BB063A,BB,,50.7525554705,-111.467721277,467006,5622413,679.228,,DPF,678.831787109375,Contact 222,665.3928,13.438987109375,,,DPF2,Y,Y,Y,,Mixed faunal Class C,P. J. Currie,,N,,2002-05-16,
BB064,BB,,50.7974451337,-111.578663717,459219,5627460,658.85,,DPF,658.76123046875,Contact 001,640.4181,18.34313046875,,,DPF2,Y,Y,Y,,Mixed faunal Class B,L. J. Strong et al.,1981-08-07,N,,2001-10-23,
BB065,BB,,50.7396709454,-111.5121075847,463865,5621001,670.83,,DPF,669.700012207031,Contact 155,662.1328,7.56721220703105,,,DPF1,Y,Y,Y,,Hadrosauridae; tyrannosaur Class C,L. J. Strong,1981-08-30,N,,2001-07-09,
BB066,BB,,50.7504452411,-111.5160241346,463597,5622201,662.493,,DPF,662.335754394531,Contact 224,660.6846,1.65115439453098,,,DPF1,Y,Y,Y,,Mixed faunal Class C,L. J. Strong,1981-08-30,N,,2005-06-24,
BB067,BB,,50.7048069963,-111.5096176415,464014,5617123,707.038,,DPF,NA,NA,NA,NA,,,DPF4,N,Y,?,,Mixed faunal Class B,L. J. Strong,1982-06-10,N,,2003-05-25,
BB068,BB,,50.7071936975,-111.5108614763,463928,5617389,707.13,,DPF,NA,NA,NA,NA,,,DPF4,N,Y,?,,Mixed faunal Class B,L. J. Strong,1982-06-10,N,,2003-05-25,
BB069,BB,,50.732524381,-111.5135033359,463761,5620207,698.44,,DPF,698.539001464844,Contact 202,671.2587,27.280301464844,,,DPF3,N,Y,Y,,Mixed faunal Class B,L. J. Strong,1982-06-01,N,,2001-10-22,
BB070,BB,,50.7706430623,-111.5140623667,463751,5624446,664.011,,DPF,664.564453125,Contact 046,654.334,10.2304531250001,,,DPF1,Y,Y,Y,,Mixed faunal Class D,L. J. Strong,1982-06-15,N,,2001-07-27,
BB071,BB,,50.7682107147891,-111.512986333381,463825,5624175,650,Bill Abler’s Site,Oldman,630.945068359375,Eberth 1990,,-10,,,Oldman,Y,Y,Y,,Mixed faunal Class B/C,P. J. Currie; L. J. Strong,1982-06-09,N,,2003-05-24,Brinkman 1990; Eberth 1990; coordinates appear too far South
BB072,BB,,50.7362751428,-111.5030293821,464503,5620619,699.082,,DPF,698.536743164062,Contact 202,671.2587,27.2780431640621,,,DPF4,Y,Y,Y,,Mixed faunal Class C,K. Aulenback,1982-06-18,N,,2002-05-17,
BB073,BB,,50.738746306,-111.5013835753,464621,5620893,698.402,,DPF,697.318725585938,Contact 225,671.8,25.518725585938,,,DPF3,Y,Y,Y,,Mixed faunal Class B,P. J. Currie; L. J. Strong,1982-06-18,N,,2002-05-17,
BB074,BB,,50.7386625684,-111.5020345854,464575,5620884,694.73,,DPF,694.631469726562,Contact 225,671.8,22.8314697265621,,,DPF4,Y,Y,Y,,Mixed faunal Class C,P. J. Currie; L. J. Strong,1982-06-18,N,,2002-05-17,
BB075,BB,,50.7405790127,-111.4912557015,465337,5621092,704.236,,DPF,704.058288574219,Eberth 1990,,36,,,DPF4,Y,Y,Y,,Mixed faunal Class B/D,P. Dodson,1982-08-20,N,,2003-05-20,Brinkman 1990; Eberth 1990
BB075A,BB,,50.740486218231,-111.491935004725,465289,5621082,,,DPF,703.464904785156,Eberth 1990,,36,,,DPF4,Y,Y,Y,,Mixed faunal Class B/D,,,N,,,
BB076,BB,,50.7709475447,-111.4559779626,467847,5624453,652.4,,DPF,652.53515625,BB078 (Eberth 1990),654.18,-1.64484374999995,,,DPF1,Y,Y,Y,,Mixed faunal Class B,L. J. Strong,1982-07-21,N,,2022-08-18,
BB077,BB,,50.7735834756,-111.4557199432,467867,5624746,674.04,,DPF,673.744018554688,BB078 (Eberth 1990),654.18,21.458,,,DPF3,Y,Y,Y,,Mixed faunal Class D,P. J. Currie,1982-07-21,N,,2001-10-23,
BB078,BB,,50.7729193557,-111.4576706283,467729,5624673,675.48,Pumposaurus,DPF,675.708374023438,Eberth 1990,,21.3,,,DPF3,Y,Y,Y,,Mixed faunal Class D,P. J. Currie,1982-07-22,N,,2022-08-16,Brinkman 1990; Eberth 1990; Brinkman unpublished
BB079,BB,,50.7524186958,-111.4083651726,471193,5622373,679.49,,DPF,679.288452148438,Contact 087,654.286865234375,25.001586914063,,,DPF3,Y,Y,Y,,Microsite (Class B/D BB),P. Dodson,1982-08-02,N,,2002-05-16,
BB079A,BB,,50.7517058418,-111.4090535812,471144,5622294,676.3,,DPF,678.188781738281,Contact 087,654.286865234375,23.901916503906,,,DPF2,Y,Y,Y,,,,2015-06-15,,,,
BB081A,BB,,50.7441968061,-111.5604744722,460456,5621529,704.264,,DPF,704.204040527344,Contact 121,659.810424804688,44.393615722656,,,DPF5,Y,Y,Y,,Microsite (Class C/D BB),P. Dodson,1982-08-02,N,,2002-05-18,
BB081B,BB,,50.7453022662,-111.5606152348,460447,5621652,702.849,,DPF,702.588928222656,Contact 121,659.810424804688,42.7785034179681,,,DPF5,Y,Y,Y,,Microsite (Class C/D BB),P. Dodson,1982-08-01,N,,2002-05-18,
BB084,BB,,50.7370789116,-111.4830847317,465911,5620699,703.71,,DPF,714.494689941406,Contact 201,670.5576,43.937089941406,,,DPF4,Y,Y,Y,,Mixed faunal Class C/D,E. Koster & B. Buoy,1982-08-05,N,,1998-08-11,
BB085,BB,,50.7509747726,-111.5018402291,464598,5622253,714.605,,DPF,666.282836914062,Contact 146,661.415832519531,4.86700439453102,,,DPF5,Y,Y,Y,,Mixed faunal Class B,L. J. Strong (Dale Russell as BB040),1982-08-08,N,,2002-06-25,
BB086,BB,,50.7510033355,-111.50147197,464624,5622256,666.43,,DPF,661.806457519531,Eberth 1990,,1,,,DPF1,Y,Y,Y,,Mixed faunal Class D,L. J. Strong,1982-08-01,N,,2001-10-20,Brinkman 1990; Eberth 1990; Brinkman unpublished
BB086A,BB,,50.7484982216,-111.4680777428,466978,5621962,661.84,,DPF,697.204040527344,Contact 222,665.3928,31.811240527344,,,DPF1,Y,Y,Y,,Mixed faunal Class D,L. J. Strong,1982-08-01,N,,2001-10-20,
BB087,BB,,50.7370789116,-111.4830847317,465911,5620699,697.333,,DPF,714.494689941406,Contact 201,670.5576,43.937089941406,,,DPF3,Y,Y,Y,,Mixed faunal Class D,L. J. Strong,1982-08-19,N,,1998-08-02,
BB088,BB,,50.7511314959577,-111.457160455498,467750,5622250,709,,DPF,677.076782226562,Contact 151,661.985534667969,15.0912475585931,,,DPF5,Y,Y,Y,,Microsite Class D,,,N,,,Eberth 1990
BB089,BB,,50.7017789611,-111.5028018396,464493,5616783,735.703,,DPF,NA,NA,NA,NA,,,DPF5,N,Y,?,,Fish; Ceratopsidae; tree and plant; Class D,L. J. Strong,1982-08-19,N,,,
BB090,BB,,50.7364750591,-111.5269949837,462812,5620653,679.49,,DPF,679.075500488281,Contact 194,669.628479003906,9.447021484375,,,DPF1,Y,Y,Y,,Mixed faunal Class B,J. Walper; P. J. Currie et al,1984-06-01,N,,2001-10-22,
BB091,BB,,50.7361411826,-111.5272463164,462794,5620616,672.9,FEP Irishman’s Coulee,DPF,672.634521484375,Eberth & Getty 2005,,2.4,,,DPF1,N,Y,Y,,Centrosaurus apertus Class A,R. Ens & J. Walper,1984-05-01,Y,,2001-10-22,Eberth & Getty 2005
